,podcast_uuid,title_x,image,description_x,language,categories,website,author,itunes_id,title_y,audio,audio_length,description_y,pub_date,uuid
0,078057c481a04b918f43ccbbdeabe0a5,The Practice of the Practice Podcast: Small Business Growth | Marketing | Blogging | Small Business,http://is5.mzstatic.com/image/thumb/Music71/v4/43/aa/4c/43aa4cce-bf70-d27b-03f2-54ea22504d74/source/600x600bb.jpg,"Joe Sanok from the www.PracticeofthePractice.com blog covers everything it takes to make your service-based private practice more awesome. It’s what you wish you had learned in graduate school. Learn killer ways to grow your referrals, save tons of money, and have some fun along the way. <br />
<br />
Joe has been featured on the Huffington Post, Yahoo Health, ZynnyMe, PsychCentral, and Sirus Radio.<br />
<br />
Joe has an extensive background in several clinical settings including foster care, residential, home-based, college counseling, and private practice. As the owner of Mental Wellness Counseling in Traverse City, MI he has grown his practice and taught others to do the same. As an expert in the field of growing counseling private practices, Joe exposes all he knows to help you with marketing, branding, consulting, and a deeper level of awesomeness. <br />
<br />
Joe knows that we’ve all been there, we dream of our small business taking off and we know that it should...but it doesn’t. We want more referrals and the independence that comes from a small business. Through marketing, website developments, and other business-focused tips, Joe helps you to grow. There are simple changes that you can make that will ensure your grow as a professional, expert and as a small business owner. Joe engages and encourages listeners through real-life examples of failure and success. These discussions are for the 21st century counselor who wants to be on the edge of technology, marketing, and expanding their private practice or small business! Plus, there is super sweet music throughout the podcast. <br />
<br />
https://www.practiceofthepractice.com",English,Management & Marketing | Business | Careers | Training | Education,https://www.practiceofthepractice.com,"Joseph R. Sanok: Counselor, Private Practice Owner, Marketing Expert, and Consultant",597735438,How to Create a Marketing Plan | PoP 267,http://traffic.libsyn.com/practiceofthepractice/How_to_Create_a_Marketing_Plan___PoP_267.m4a,539,"<p>In this episode, Joe Sanok speaks about how to create a marketing plan.</p>
<h1>Podcast Sponsor</h1>
<p><a href=""https://www.practiceofthepractice.com/start"" target=""_blank"" rel=""noopener""><img class=""size-full wp-image-7516 aligncenter"" src=""https://www.practiceofthepractice.com/wp-content/uploads/2017/07/28-step-checklist.png"" sizes=""(max-width: 560px) 100vw, 560px"" srcset=""https://www.practiceofthepractice.com/wp-content/uploads/2017/07/28-step-checklist.png 560w, https://www.practiceofthepractice.com/wp-content/uploads/2017/07/28-step-checklist-300x169.png 300w, https://www.practiceofthepractice.com/wp-content/uploads/2017/07/28-step-checklist-330x186.png 330w"" alt="""" width=""560"" height=""315"" /></a></p>
<p>Confused by all the advice on starting a private practice? I’d love to help. I put together a <a href=""https://www.practiceofthepractice.com/start"" target=""_blank"" rel=""noopener"">checklist of the top 28 things to do to launch a private practice</a>.</p>
<h1><span class=""s1"">In This Podcast</span></h1>
<h3>Summary</h3>
<p>If you are in private practice and are under the $60 000 mark, this podcast series is for you! Joe is going back to the basics and running through the various phases involved in setting up a practice that is going to thrive! In this episode, Joe speaks about how to create a marketing plan.</p>
<h3>How To Create a Marketing Plan</h3>
<p>Make sure to maintain a bigger vision when it comes to your marketing plan. Decide where you want your practice to go and how individual decisions will influence that. Structure your marketing plan over the next 12 months and break it up per quarter.</p>
<p>Start with what you want to achieve, i.e.: ideal income, etc., by the end of the year and work backwards from there. Set up KPIs (key performance indicators) for each quarter. Once you know what you need to achieve every quarter, break it down even further to goals per month and then per week.</p>
<blockquote><p>&#8220;Learn to evaluate your overall use of time.&#8221;</p></blockquote>
<h3>Useful Links:</h3>
<ul>
<li><a href=""https://www.practiceofthepractice.com/start"" target=""_blank"" rel=""noopener"">28-Step Checklist For Starting a Private Practice</a></li>
<li><a href=""https://www.practiceofthepractice.com/systems-grow-practice-marketing-plan-flow-blogging-pop-266/"" target=""_blank"" rel=""noopener"">Systems to Grow a Practice: Marketing Plan, Flow, and Blogging | PoP 266</a></li>
</ul>
<h1 data-fontsize=""22"" data-lineheight=""33"">Meet Joe Sanok</h1>
<h1><img class=""size-medium wp-image-6219 alignleft"" src=""https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-300x200.jpg"" sizes=""(max-width: 300px) 100vw, 300px"" srcset=""https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-300x200.jpg 300w, https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-768x512.jpg 768w, https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-1024x683.jpg 1024w, https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-330x220.jpg 330w, https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-296x197.jpg 296w, https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-690x460.jpg 690w, https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-1050x700.jpg 1050w, https://www.practiceofthepractice.com/wp-content/uploads/2016/10/joe-headshot-seated-on-stairs-straight-1-870x580.jpg 870w"" alt="""" width=""300"" height=""200"" /></h1>
<p>Joe Sanok helps counselors to create thriving practices that are the envy of other counselors. He has helped counselors to grow their businesses by 50-500% and is proud of all the private practice owners that are growing their income, influence, and impact on the world. <a href=""https://www.practiceofthepractice.com/consulting"">Click here to explore consulting with Joe.</a></p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<p>&nbsp;</p>
<h1>Thanks For Listening!</h1>
<p>Feel free to leave a comment below or share this podcast on social media by clicking on one of the social media links below! Alternatively, leave a review on <a href=""https://itunes.apple.com/us/podcast/practice-practice-podcast/id597735438?mt=2"" target=""_blank"" rel=""noopener noreferrer"">iTunes</a> and subscribe!</p>
<p>The post <a rel=""nofollow"" href=""https://www.practiceofthepractice.com/create-marketing-plan-pop-267/"">How to Create a Marketing Plan | PoP 267</a> appeared first on <a rel=""nofollow"" href=""https://www.practiceofthepractice.com"">How to Start, Grow, and Scale a Private Practice| Practice of the Practice</a>.</p>",2017-12-20 06:30:33+00,f45f92d4a0694dcf9f5b997de291a166
1,df0f64d8739043d294b7089dc533ea0e,Pre-Review: A Movie Review Podcast,http://is2.mzstatic.com/image/thumb/Music69/v4/4a/1c/f8/4a1cf823-8a0e-1a12-ee18-829a92ab5b5d/source/600x600bb.jpg,"Every Week T & T thoroughly review, dissect and analyze an upcoming blockbuster film... that they haven't even seen.  They take the concept of a film critic to a whole new low. No movie is safe... unless these horses asses haven't heard of it. Yeeee Haw!!

Like us, download, go to Stitcher, iTunes, Facebook, Twitter and the like to support the team.",English,TV & Film,http://www.stitcher.com/podcast/celluloid-stallions/movie-prereview?refid=stpr,Phantom Haus,1067442291,101 - 'The Shape of Matt Lauer' - Movie Reviews,http://feeds.soundcloud.com/stream/363373601-celluloid-stallions-101-the-shape-of-matt-lauer-movie-reviews.mp3,3948,"We anticipate 'The Shape of Water' and discuss Matt Lauer's weird button operated sex dungeon. We dissect the 'Avengers: Infinity War' Trailer aka. 'Facial Hair: The Movie'. It's 'Cape Fear' vs. 'Schindler's List'
and we Reply to a scathing review of  the 100th episode of our Podcast.

Check out our Youtube Channel. Like, Comment, Subscribe, Tell a Friend!

Thanks!",2017-12-01 06:15:29+00,d88ec061a44f4212ae5fa6d267c8df76
2,4968d40421cb4a2cbf52bab2f48830c3,NARAL's The Morning After,http://is1.mzstatic.com/image/thumb/Music7/v4/55/ee/f8/55eef86d-65c5-ea19-6def-cc3bde78c437/source/600x600bb.jpg,"Each Thursday, the staff of NARAL Pro-Choice Ohio discuss reproductive rights, health care policy, and sexual politics.",English,Non-Profit | Government & Organizations | Sexuality | News & Politics | Health,https://naralprochoiceohio.wordpress.com,NARAL Pro-Choice Ohio,1032589054,Podcast: Demand Kasich Veto This Bill!,http://archive.org/download/naral20171215/naral20171215.mp3,2064,"<p><strong><em>NARAL&#8217;s The Morning After </em>is a production of NARAL Pro-Choice Ohio.</strong><br />
<!--[if lt IE 9]><script>document.createElement('audio');</script><![endif]-->
<audio class=""wp-audio-shortcode"" id=""audio-3991-1"" preload=""none"" style=""width: 100%;"" controls=""controls""><source type=""audio/mpeg"" src=""http://archive.org/download/naral20171215/naral20171215.mp3?_=1"" /><a href=""http://archive.org/download/naral20171215/naral20171215.mp3"">http://archive.org/download/naral20171215/naral20171215.mp3</a></audio><br />
<a href=""https://itunes.apple.com/us/podcast/narals-the-morning-after/id1032589054"" target=""_blank"" rel=""noopener""><img data-attachment-id=""3145"" data-permalink=""https://naralprochoiceohio.wordpress.com/2017/06/09/what-else-happened-on-comey-day/listen-on-apple-podcasts/"" data-orig-file=""https://naralprochoiceohio.files.wordpress.com/2017/06/listen-on-apple-podcasts.jpg?w=195&#038;h=51"" data-orig-size=""1332,348"" data-comments-opened=""1"" data-image-meta=""{&quot;aperture&quot;:&quot;0&quot;,&quot;credit&quot;:&quot;&quot;,&quot;camera&quot;:&quot;&quot;,&quot;caption&quot;:&quot;&quot;,&quot;created_timestamp&quot;:&quot;0&quot;,&quot;copyright&quot;:&quot;&quot;,&quot;focal_length&quot;:&quot;0&quot;,&quot;iso&quot;:&quot;0&quot;,&quot;shutter_speed&quot;:&quot;0&quot;,&quot;title&quot;:&quot;&quot;,&quot;orientation&quot;:&quot;0&quot;}"" data-image-title=""listen-on-apple-podcasts"" data-image-description="""" data-medium-file=""https://naralprochoiceohio.files.wordpress.com/2017/06/listen-on-apple-podcasts.jpg?w=195&#038;h=51?w=300"" data-large-file=""https://naralprochoiceohio.files.wordpress.com/2017/06/listen-on-apple-podcasts.jpg?w=195&#038;h=51?w=1000"" class=""  wp-image-3145 alignnone"" src=""https://naralprochoiceohio.files.wordpress.com/2017/06/listen-on-apple-podcasts.jpg?w=195&#038;h=51"" alt=""listen-on-apple-podcasts"" width=""195"" height=""51"" srcset=""https://naralprochoiceohio.files.wordpress.com/2017/06/listen-on-apple-podcasts.jpg?w=195&amp;h=51 195w, https://naralprochoiceohio.files.wordpress.com/2017/06/listen-on-apple-podcasts.jpg?w=390&amp;h=102 390w, https://naralprochoiceohio.files.wordpress.com/2017/06/listen-on-apple-podcasts.jpg?w=150&amp;h=39 150w, https://naralprochoiceohio.files.wordpress.com/2017/06/listen-on-apple-podcasts.jpg?w=300&amp;h=78 300w"" sizes=""(max-width: 195px) 100vw, 195px"" /></a></p>
<div class=""jetpack-video-wrapper""><iframe class='youtube-player' type='text/html' width='1000' height='593' src='https://www.youtube.com/embed/3tBbi__tDN0?version=3&#038;rel=1&#038;fs=1&#038;autohide=2&#038;showsearch=0&#038;showinfo=1&#038;iv_load_policy=1&#038;wmode=transparent' allowfullscreen='true' style='border:0;'></iframe></div>
<p>This week, <strong>Kelley</strong>, <strong>Jaime</strong>, and <strong>Gabe</strong> discuss the Ohio Senate 20-12 vote to pass the <strong>Down syndrome abortion ban</strong>. The bill will shortly arrive on John Kasich&#8217;s desk for consideration.</p>
<p><strong><a href=""http://bit.ly/kasichmustveto"" target=""_blank"" rel=""noopener"">Email John Kasich to demand he veto the Down syndrome abortion ban.</a></strong></p>
<hr />
<p>Join <a href=""https://www.facebook.com/pg/NARALProChoiceOhio/events/""><strong>NARAL Pro-Choice Ohio</strong></a> at an event near you:</p>
<p style=""text-align:center;""><a href=""https://www.facebook.com/pg/NARALProChoiceOhio/events/"" target=""_blank"" rel=""noopener""><img data-attachment-id=""3984"" data-permalink=""https://naralprochoiceohio.wordpress.com/2017/12/01/podcast-bad-behavior-legislator/calendar/"" data-orig-file=""https://naralprochoiceohio.files.wordpress.com/2017/12/calendar.png?w=1000"" data-orig-size=""324,237"" data-comments-opened=""1"" data-image-meta=""{&quot;aperture&quot;:&quot;0&quot;,&quot;credit&quot;:&quot;&quot;,&quot;camera&quot;:&quot;&quot;,&quot;caption&quot;:&quot;&quot;,&quot;created_timestamp&quot;:&quot;0&quot;,&quot;copyright&quot;:&quot;&quot;,&quot;focal_length&quot;:&quot;0&quot;,&quot;iso&quot;:&quot;0&quot;,&quot;shutter_speed&quot;:&quot;0&quot;,&quot;title&quot;:&quot;&quot;,&quot;orientation&quot;:&quot;0&quot;}"" data-image-title=""Calendar"" data-image-description="""" data-medium-file=""https://naralprochoiceohio.files.wordpress.com/2017/12/calendar.png?w=1000?w=300"" data-large-file=""https://naralprochoiceohio.files.wordpress.com/2017/12/calendar.png?w=1000?w=324"" class=""alignnone size-full wp-image-3984"" src=""https://naralprochoiceohio.files.wordpress.com/2017/12/calendar.png?w=1000"" alt=""Calendar.png"" srcset=""https://naralprochoiceohio.files.wordpress.com/2017/12/calendar.png 324w, https://naralprochoiceohio.files.wordpress.com/2017/12/calendar.png?w=150 150w, https://naralprochoiceohio.files.wordpress.com/2017/12/calendar.png?w=300 300w"" sizes=""(max-width: 324px) 100vw, 324px""   /></a></p>
<hr />
<p><a href=""http://bit.ly/naralpodcast"" target=""_blank"" rel=""noopener noreferrer""><img data-attachment-id=""674"" data-permalink=""https://naralprochoiceohio.wordpress.com/2016/01/14/hillary_says_endhyde/sunrisewide4/"" data-orig-file=""https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=1000"" data-orig-size=""1200,628"" data-comments-opened=""1"" data-image-meta=""{&quot;aperture&quot;:&quot;0&quot;,&quot;credit&quot;:&quot;&quot;,&quot;camera&quot;:&quot;&quot;,&quot;caption&quot;:&quot;&quot;,&quot;created_timestamp&quot;:&quot;0&quot;,&quot;copyright&quot;:&quot;&quot;,&quot;focal_length&quot;:&quot;0&quot;,&quot;iso&quot;:&quot;0&quot;,&quot;shutter_speed&quot;:&quot;0&quot;,&quot;title&quot;:&quot;&quot;,&quot;orientation&quot;:&quot;1&quot;}"" data-image-title=""SunriseWide4"" data-image-description="""" data-medium-file=""https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=1000?w=300"" data-large-file=""https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=1000?w=1000"" class=""alignnone size-full wp-image-674"" src=""https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=1000"" alt=""SunriseWide4"" srcset=""https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=1000 1000w, https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=150 150w, https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=300 300w, https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=768 768w, https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg?w=1024 1024w, https://naralprochoiceohio.files.wordpress.com/2016/01/sunrisewide4.jpg 1200w"" sizes=""(max-width: 1000px) 100vw, 1000px""   /></a></p>
<hr />
<p style=""text-align:left;""><strong>Help build a pro-choice Ohio.</strong> Every day, NARAL Pro-Choice Ohio fights to protect access to the full range of reproductive health care options—including preventing unintended pregnancy, bearing healthy children, and safe &amp; legal abortion care. We educate the public about the real threat to women’s healthcare posed by anti-choice legislation and policies. We mobilize pro-choice Ohioans to take political action to defend reproductive rights. And we are the voice for Ohio’s abortion clinics, helping them navigate the increasingly hostile climate created by extremist groups. <strong>But we need your help.</strong> As a member organization, we rely on your financial support to fund our important legislative, educational, and grassroots activities.</p>
<p style=""text-align:center;""><a href=""http://bit.ly/blog0515""><img data-attachment-id=""51"" data-permalink=""https://naralprochoiceohio.wordpress.com/2015/05/06/naral-pro-choice-ohio-podcast-may-6/screen-shot-2015-05-14-at-2-36-55-pm/"" data-orig-file=""https://naralprochoiceohio.files.wordpress.com/2015/05/screen-shot-2015-05-14-at-2-36-55-pm.png?w=1000"" data-orig-size=""149,51"" data-comments-opened=""1"" data-image-meta=""{&quot;aperture&quot;:&quot;0&quot;,&quot;credit&quot;:&quot;&quot;,&quot;camera&quot;:&quot;&quot;,&quot;caption&quot;:&quot;&quot;,&quot;created_timestamp&quot;:&quot;0&quot;,&quot;copyright&quot;:&quot;&quot;,&quot;focal_length&quot;:&quot;0&quot;,&quot;iso&quot;:&quot;0&quot;,&quot;shutter_speed&quot;:&quot;0&quot;,&quot;title&quot;:&quot;&quot;,&quot;orientation&quot;:&quot;0&quot;}"" data-image-title=""Contribute to NARAL Pro-Choice Ohio"" data-image-description="""" data-medium-file=""https://naralprochoiceohio.files.wordpress.com/2015/05/screen-shot-2015-05-14-at-2-36-55-pm.png?w=1000?w=149"" data-large-file=""https://naralprochoiceohio.files.wordpress.com/2015/05/screen-shot-2015-05-14-at-2-36-55-pm.png?w=1000?w=149"" class=""alignnone size-full wp-image-51"" src=""https://naralprochoiceohio.files.wordpress.com/2015/05/screen-shot-2015-05-14-at-2-36-55-pm.png?w=1000"" alt=""Contribute to NARAL Pro-Choice Ohio""   /></a></p><br />  <a rel=""nofollow"" href=""http://feeds.wordpress.com/1.0/gocomments/naralprochoiceohio.wordpress.com/3991/""><img alt="""" border=""0"" src=""http://feeds.wordpress.com/1.0/comments/naralprochoiceohio.wordpress.com/3991/"" /></a> <img alt="""" border=""0"" src=""https://pixel.wp.com/b.gif?host=naralprochoiceohio.wordpress.com&#038;blog=84445040&#038;post=3991&#038;subd=naralprochoiceohio&#038;ref=&#038;feed=1"" width=""1"" height=""1"" />",2017-12-15 18:17:59+00,a4470ee0dee040d0a860794a3473a98d
3,8644b2bf108246daba93248f7c5c1cb9,Connecting Faith,http://is5.mzstatic.com/image/thumb/Music118/v4/83/2a/a2/832aa211-30d0-d966-08ef-70104f9e7400/source/600x600bb.jpg,"Discussing the issues of the day and offering a biblical worldview through engaging interviews with authors, pastors and other Christian leaders. With great guests and your phone calls, we discover truth together and learn from one another while discussing what is happening in our community, churches and world. Connecting Faith features discussions on relationships, finances, parenting, and health matters.",English,Religion & Spirituality | Christianity,http://myfaithradio.com/programs/connecting-faith/,Neil Stavem - Faith Radio,546056944,Navigating the holidays as a stepfamily with Laura Petherbridge,http://tracking.feedpress.it/link/15795/7616492/Navigating-the-holidays-as-a-stepfamily-with-Laura-Petherbridge.mp3,2973,"The holidays tend to be a stressful time of year for blended families. <a href=""http://myfaithradio.com/authors/laura-petherbridge/"">Laura Petherbridge</a> offers encouragement from her latest devotional <a href=""http://www.laurapetherbridge.com/books/seeking-a-silent-night-ebook/"">Seeking A Silent Night, Unwrapping A Step-Family Christmas.</a>",2017-12-04 14:25:32+00,05b747341fb3455bb3612558fbca1dca
4,76b89db6755e4b68a7b91c44a5008b18,Life Point Baptist Church,http://is1.mzstatic.com/image/thumb/Music71/v4/21/97/c3/2197c3ac-dfeb-0271-c26f-9e7ca0d09d74/source/600x600bb.jpg,The latest feed from Life Point Baptist Church on SermonAudio.com.,English,Christianity | Religion & Spirituality,http://www.sermonaudio.com/lifepoint,Pastor Kit Johnson,1162929938,The Captain of Salvation,https://mp3.sermonaudio.com/filearea/12241722592810/12241722592810.mp3,2580,"A new MP3 sermon from <a href=""http://www.sermonaudio.com/source_detail.asp?sourceid=lifepoint"">Life Point Baptist Church</a> is now available on SermonAudio.com with the following details:<BR><BR>

<b>Title:</b> The Captain of Salvation<BR>
<b>Speaker:</b> Kit Johnson<BR>
<b>Broadcaster:</b> Life Point Baptist Church<BR>
<b>Event:</b> Sunday Service<BR>
<b>Date:</b> 12/17/2017<BR>
<b>Bible:</b> Hebrews 2:10-13<BR>
<b>Length:</b> 43 min. (64kbps)",2017-12-17 05:00:00+00,8a6f33733589421c92e90560f18b0255
5,4420f2adf2444d268038869741262a86,WBLZ Sports,http://is4.mzstatic.com/image/thumb/Music128/v4/7a/7c/8e/7a7c8ed8-923b-5ec8-6959-fb598d9d791c/source/600x600bb.jpg,Podcast by WBLZVault,English,Sports & Recreation,http://soundcloud.com/wblzvault,WBLZVault,1271907348,Burger & Badass Show 12.13.2017,http://feeds.soundcloud.com/stream/369417980-wblzvault-burger-badass-show-12-13-2017.mp3,7198,Burger & Badass Show 12.13.2017 by WBLZVault,2017-12-14 13:01:33+00,c048ce4f59ff4799abb0765da08c8c96
6,438c78191392464b9a814ea594cbf165,SBS Russian - SBS на русском языке,http://is1.mzstatic.com/image/thumb/Music128/v4/65/ff/26/65ff2616-b808-2d74-750e-5c92b6b8d307/source/600x600bb.jpg,"Listen to interviews, features and community stories from the SBS Radio Russian program, including news from Australia and around the world. - Слушайте интервью, обзоры и репортажи о том, чем живет община, в программе Радио SBS на русском языке, включая новости из Австралии и всего мира.",English,News & Politics | Society & Culture | Music | Arts | TV & Film,https://www.sbs.com.au/yourlanguage/russian/en/podcastcollection/sbs-russian,SBS Russian,161306632,Viva: Part-time work and your pension - Частичная занятость и пенсионные выплаты: как не потерять в деньгах,https://tracking.feedpress.it/link/17603/7759464/russian_78af1010-aebe-4849-a51d-2a0e0f85d89c.mp3,434,"<p>More and more of us are working past retirement age. The latest Census shows the number of older people in the labour force has actually doubled from six to 13 per cent over the last decade and a half. Here is a guide to how you can choose and structure your part-time work while still enjoying your age pension entitlements.</p> - <p><span>Последнияя перепись показала, что число пожилых людей среди работающего население удвоилось за последние 15 лет. Мы предлагаем вам информацию о том, как удобно можно распланировать частичную занятость и продолжать работать, получая при этом пенсионные выплаты.</span></p>",2017-12-17 23:44:01+00,a418e09454e24cefbcc73051ead65b61
7,855fda1c8a78402b80fc8cac939dd757,Inner Dominatrix,http://is4.mzstatic.com/image/thumb/Music111/v4/5f/15/17/5f151747-5aae-2b1f-6820-fbd447a70ce9/source/600x600bb.jpg,"The Inner Dominatrix podcast is a show that takes you on a journey of stepping into owning your power in business through the lens of a former Dominatrix. 

Moving you out of judgement and sliding into becoming magnetically attractive to your clients. 

My name is Dana Pharant and we are having candid conversations with interesting business people; finding out what allows them to own their Inner Dominatrix. Each episode is packed with tools and tips you can use. 

You will also get a behind the scenes look with live coaching sessions and in-depth discussions of topics that will increase your awareness, get you unlocked from the loop of judgement and having a good laugh along the way. 

A bit edgy, a whole lot informative and often shaking up your perspective I hope you will enjoy each of the episodes as much as I do.",English,Self-Help | Religion & Spirituality | Health | Business | Spirituality,http://innerdominatrix.libsyn.com/podcast,Dana Pharant,1195242649,Danger on the Fast Path to Cash,http://traffic.libsyn.com/innerdominatrix/Solo_-_Danger_of_the_Fast_Path_to_Cash.mp3?dest-id=464388,762,"<p>An experience from Facebook, where someone Dana knew received nothing but canned responses to an introduction to them and their podcast.  But why?  Dana delves into the fear and drives that are internal for each of us – they make us a look for the easy/quick way to get to our goal.  Find out why Dana thinks some strategy and careful planning can be a great tool AND give you that sense of control.</p>",2017-12-21 23:23:58+00,bcba6af5e6db4a9e8cb0cc5410b372ca
8,a5bbf62e12ae4407850c53f82fb45d19,TYPE88,http://is5.mzstatic.com/image/thumb/Music128/v4/40/d9/d0/40d9d00d-9f66-42ac-0491-435d6e457c2d/source/600x600bb.jpg,Everyday we will respond to people that share their dream with us + exclusive bi-weekly interviews.,English,Business,https://anchor.fm/davenoodlez,Dave Noodlez / Anchor,1305794743,Re: Jay's Dream (NBA Player),https://anchor.fm/s/15f287c/podcast/download/70513/https%3A%2F%2Fs3-us-west-2.amazonaws.com%2Fanchor-data%2Fstationexports%2Fpodcasts%2FRe--Jay-s-Dream--NBA-Player--3951432385a13.m4a,607,"""My dream is to be an NBA Player when I grow up."" This is a dream submitted from Jay. Check out my reply.",2017-12-07 02:42:25+00,38de47f37ee84249a3109c6d55ec9db3
9,d5ea75b3a3224ab6a09b3ef318999482,#CitiTrends,http://is4.mzstatic.com/image/thumb/Music118/v4/59/15/37/591537c6-df21-4537-7503-a30d83afd102/source/600x600bb.jpg,Ghana's only technology focused radio show with a focus on technology literacy. Nominated for the World Summit Award 2015 as the best and most innovative solution in Media & News from Ghana.,English,Technology,https://kofimusings.com,Philip Ashon,1322253653,#CITITRENDS S03 EP 32,http://feeds.soundcloud.com/stream/368647361-philipashon-cititrends-s03-ep-32.mp3,2329,"Ing. Kenneth Owusu-Akyaw joined me on the show this week as we discussed the blueprint of making Ghana's music industry profitable again. We talked about structure, GhudMusic, and so much more. We checked out some mobile applications and got a sense of the latest technology trends from across the world.",2017-12-12 21:08:34+00,1540f143338341fe8c4ced3b1038a434
